"fishery","mean_sel_est","mean_sel_ref","mature_len_sel_est","mature_len_sel_ref","high_len_sel_est","high_len_sel_ref"
1,0.450371709004534,0.491926303149441,0.730802986802223,0.730802905349781,0.730802905737029,0.730802905179081
2,0.453134113173822,0.510676067708841,0.827653011176604,0.811036623700044,0.815758136339295,0.811036623380612
3,0.163443468723611,0.271425054009909,0.358681678616613,0.546873290060255,0.381930727033805,0.548057238168103
4,0.158870614424358,0.301086853838584,0.312145044052854,0.494958185848499,0.286816289211473,0.46571735280743
5,0.713830800371386,0.713830800371386,0.997125790066389,0.997125790066389,0.997125790094706,0.997125790094706
6,0.425701070606862,0.484499365497911,0.832279650630547,0.805475592011187,0.838351961223039,0.790963723012602
7,0.318803585923544,0.335152428501197,0.578526189865703,0.468378788019505,0.55385897837221,0.429420678374147
8,0.0942131095188975,0.0944156786779865,0.000123397148732378,0.000123397106457514,0.000123397122889281,0.000123397085228058
9,0.156270359085564,0.247349360738194,0.000123714195955587,0.0121460226364859,0.000123410013877411,0.00678365014650347
10,0.131161418322105,0.135457576314021,0.000123397029081083,0.000123397018359108,0.00012339701233966,0.000123396997341812
11,0.143500293460749,0.320096465287265,0.314021748095817,0.655418271330532,0.336017051516091,0.687053192598285
12,0.0960833253013469,0.182344278856105,0.000123411786382473,0.00317985339644466,0.000123397619696449,0.00161614048937107
13,0.176014094486389,0.0628687883387201,0.000123397386217347,0.000123258386374065,0.000123397302282952,0.000123258901273638
14,0.109907208974219,0.10975106336052,0.000123397085302342,0.000123397014341263,0.000123397066175878,0.00012339700015357
15,0.535108314345065,0.5802020198788,0.994451108301757,0.998563166015222,0.997676108358186,0.999408611319445
